Title,Author,Info,Link,Author Link
Dans Eden Yıldız,Mustafa Koç,"Zlatan Ibrahimovic ilk Ballon d'Or'unu bekleyedursun, Allan Simonsen bunu başaran tek İskandinav olarak ayrı noktada duruyor.",http://www.socratesdergi.com/2016/12/22/dans-eden-yildiz/,http://www.socratesdergi.com/author/mustafkoc/
Sessizlik,Kutay Ersöz,Cenazelerde ve taziye evlerinde sessizlik olurdu. Ölüm tüm yorumları ötelerdi. Artık öyle olmuyor...,http://www.socratesdergi.com/2016/12/21/sessizlik/,http://www.socratesdergi.com/author/kutayersoz/
Yeni Bir Güç Doğuyor,Emre Özcan,Fark Yaratanlar serisinin üçüncü yazısında konuk RB Leipzig. Emre Özcan kaleme aldı. ,http://www.socratesdergi.com/2016/12/21/yeni-bir-guc-doguyor/,http://www.socratesdergi.com/author/emreozcan/
İspat,Ozan Can Sülüm,"Nora Mörk, kariyeri boyunca önemli sakatlıklar yaşadı ama pes etmedi. Norveç formasıyla bir kez daha Avrupa şampiyonu olan henbolcuyla konuşuk.",http://www.socratesdergi.com/2016/12/21/ispat/,http://www.socratesdergi.com/author/ozancansulum/
Gelenek,Socrates,Tüm motor sporlarında ortak olan bir değişken var: Michelin geleneği. ,http://www.socratesdergi.com/2016/12/02/gelenek/,http://www.socratesdergi.com/author/socratesdergi/
Rönesans,Mert Demir,Liverpool 26 yıldır ligi kazanamıyor. Bu süreçte zirveye yaklaştıkları da oldu ama hiçbir dönem Jürgen Klopp'un ilk 14 ayı kadar heyecan verici geçmemişti.,http://www.socratesdergi.com/2016/12/20/ronesans/,http://www.socratesdergi.com/author/mertdemir/
Sager’a Veda,Socrates,"Craig Sager kanserle mücadelesini kaybetti. Sager'ın ölümüyle sarsılan NBA dünyası, onu renkli kişiliğiyle andı.",http://www.socratesdergi.com/2016/12/16/sagera-veda/,http://www.socratesdergi.com/author/socratesdergi/
Çengelli İğne,Socrates,"Suya sabuna dokunmayan açıklamalar yapan sporcuları unutun. LeBron James, siyasi konularda ses çıkarmaya devam ediyor. ",http://www.socratesdergi.com/2016/12/13/cengelli-igne/,http://www.socratesdergi.com/author/socratesdergi/
Uzaylının Veda Dersi,Yücel Tuğan,"Boksun Şöhretler Müzesinde yeri hazır olan Bernard Hopkins, 51 yaşında son maçına çıkacak.  ",http://www.socratesdergi.com/2016/12/16/uzaylinin-veda-dersi/,http://www.socratesdergi.com/author/yuceltugan/
İki Ronaldo,Kutay Ersöz,Ronaldo sezonun kısa bir dilimini muhteşem geçirerek yılın futbolcusu oldu. Belki de daha çok ödül alması için; kendi eforunu ikiye bölmesi gerekiyordur.,http://www.socratesdergi.com/2016/12/13/iki-ronaldo/,http://www.socratesdergi.com/author/kutayersoz/
İlk Randevu,Necati Uçak,"CEV Şampiyonlar Ligi'nde ilk haftanın ardından Vakıfbank, Eczacıbaşı Vitra ve Fenerbahçe'nin maçlarına göz atıyoruz...",http://www.socratesdergi.com/2016/12/18/ilk-randevu/,http://www.socratesdergi.com/author/necatiucak/
Eskisi Gibi Değil,Güner Çalış,"Günümüz yıldızları, onların istekleri, karşılaşmak istedikleri tavır... Hepsi 15 sene öncesine göre çok daha farklı. Peki ya Jose Mourinho?",http://www.socratesdergi.com/2016/12/07/eskisi-gibi-degil/,http://www.socratesdergi.com/author/gunercalis/
