Title,Author,Info,Link,Author Link
Hayaletlere Karşı,Volkan Ağır,Futbol tarihinin en garip maçı bundan 42 sene evvel Şili'nin başkenti Santiago'da bulunan Estadio Nacional'de oynandı. O günü tanıklarından dinledik.,http://www.socratesdergi.com/2015/11/22/hayaletlere-karsi/,http://www.socratesdergi.com/author/volkanagir/
MARATON MANZARALARI,Socrates,"Vodafone İstanbul Maratonu'nu farklı dallarda koşan Servet Can Demirel ve Ozan Can Sülüm, izlenimlerini yazdı. ",http://www.socratesdergi.com/2015/11/16/maraton-manzaralari/,http://www.socratesdergi.com/author/socratesdergi/
ŞİMDİ DEĞİLSE NE ZAMAN?,Socrates,Amerikan üniversitelerinde koç şiddetiyle ilgili farkındalık artmışa benziyor. Zorba koçların devri nihayet kapanıyor mu?,http://www.socratesdergi.com/2015/11/13/simdi-degilse-ne-zaman/,http://www.socratesdergi.com/author/socratesdergi/
Tek Suçlu Rusya mı?,Socrates,Mert Aydın ve Caner Eler beş soruda Rusya merkezli son doping skandalını analiz etti.,http://www.socratesdergi.com/2015/11/11/tek-suclu-rusya-mi/,http://www.socratesdergi.com/author/socratesdergi/
METRESİ Bİ’ LİRA,İbrahim Altınsay,"Vodafone İstanbul Maratonu’nda, yine Darüşşafaka için koşuyorum.",http://www.socratesdergi.com/2015/11/11/metresi-bi-lira/,http://www.socratesdergi.com/author/ibrahimaltinsay/
Dönüş Yok,İNAN ÖZDEMİR,Spor dünyası yeni bir doping skandalıyla karşı karşıya. Bu kez bizi neler bekliyor?,http://www.socratesdergi.com/2015/11/10/donus-yok/,http://www.socratesdergi.com/author/inanozdemir/
Sakınan Göze Çöp Batar,Ozan Can Sülüm,Yarış günü ne olursa olsun ‘sakınan göze çöp batar’ sözünü unutmayın. Kaçındığınız şeyler hakikaten başınıza gelebiliyor.,http://www.socratesdergi.com/2015/11/10/sakinan-goze-cop-batar/,http://www.socratesdergi.com/author/ozancansulum/
Panik Yok!,Servet Can Demirel,Karşınızdaki sadece 42.195 metre...,http://www.socratesdergi.com/2015/11/10/panik-yok/,http://www.socratesdergi.com/author/scandemirel/
"Ronda, Boks ve Aşk",Socrates,Ronda Rousey'nin yeni aşkı boks. Peki 15 Kasım'da eski bir şampiyon olan Holly Holm'e karşı UFC kemerini koruyabilecek mi?,http://www.socratesdergi.com/2015/11/10/ronda-boks-ve-ask/,http://www.socratesdergi.com/author/socratesdergi/
"FUTBOL, İHTİLÂL, REKOR",Fethi Aytuna,"“İkinci Lig’de Dünya Rekoru” manşetiyle gazetelere taşınan unutulmaz Karşıyaka-Göztepe maçının öyküsünü, tanıklarından dinledik.",http://www.socratesdergi.com/uzun-metraj/karsiyaka-goztepe/,http://www.socratesdergi.com/author/fethiaytuna/
